key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_12.keys,key_resp_12.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,ImageFile,tarPos,targPres,numDist,targetName,correctAns,difficulty,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,stimExample,posit,size,stimSize,practiceFile,key_resp_15.keys,key_resp_15.rt
,,,,,,,,,,,,,,,,a,1,0.603945,,,,,,,,0_targ_16_dist_green/trial13.png,,0,16,greenverival,a,hard,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.07173,0,15,15,137,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.549815,,,,,,,,15_dist_green/trial17.png,,1,15,greenverival,p,hard,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.14919,0,16,16,72,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.489985,,,,,,,,0_targ_4_dist_green/trial20.png,,0,4,greenverival,a,easy,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.097565,0,17,17,98,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.53883,,,,,,,,0_targ_10_dist_green/trial11.png,,0,10,greenverival,a,mid,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.110825,0,18,18,112,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.588795,,,,,,,,3_dist_green/trial23.png,,1,3,greenverival,p,easy,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.14766,0,19,19,32,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.566515,,,,,,,,3_dist_green/trial19.png,,1,3,greenverival,p,easy,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.14867,0,20,20,28,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.617955,,,,,,,,9_dist_green/trial4.png,,1,9,greenverival,p,mid,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.167255,0,21,21,36,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.525705,,,,,,,,0_targ_10_dist_green/trial4.png,,0,10,greenverival,a,mid,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.132145,0,22,22,105,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.484255,,,,,,,,0_targ_10_dist_green/trial16.png,,0,10,greenverival,a,mid,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.089325,0,23,23,117,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.58125,,,,,,,,9_dist_green/trial2.png,,1,9,greenverival,p,mid,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.135425,0,24,24,3,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.553145,,,,,,,,0_targ_4_dist_green/trial11.png,,0,4,greenverival,a,easy,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.179815,0,25,25,89,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.517285,,,,,,,,15_dist_green/trial13.png,,1,15,greenverival,p,hard,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.201495,0,26,26,68,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.709345,,,,,,,,9_dist_green/trial1.png,,1,9,greenverival,p,mid,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.245755,0,27,27,2,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.475825,,,,,,,,3_dist_green/trial14.png,,1,3,greenverival,p,easy,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.198075,0,28,28,23,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.12641,,,,,,,,0_targ_10_dist_green/trial12.png,,0,10,greenverival,a,mid,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.145605,0,29,29,113,1,,,,,,,,,,,,,,,
