key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_12.keys,key_resp_12.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,ImageFile,targPres,correctAns,difficulty,targetName,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,stimExample,posit,size,stimSize,practiceFile,tarPos,numDist,key_resp_15.keys,key_resp_15.rt
,,,,,,,,,,,,,,,,a,1,1.422035,,,,,,,,tex_hard_TA/1.6_r=TA_seed=1.png,0,a,hard,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.509365,0,19,19,143,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,0,1.38179,,,,,,,,tex_hard_TA/1.6_r=TA_seed=1.png,0,a,hard,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.53991,0,20,20,146,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.370705,,,,,,,,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.406255,0,21,21,110,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.533055,,,,,,,,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.376725,0,22,22,108,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.624385,,,,,,,,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.375025,0,23,23,112,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,1.399345,,,,,,,,tex_mid_TP/1.65_r=400_phi=315_seed=2.png,1,p,mid,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.265685,0,24,24,73,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,0,1.998915,,,,,,,,tex_hard_TA/1.6_r=TA_seed=1.png,0,a,hard,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,2.121585,0,25,25,136,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,0,1.763285,,,,,,,,tex_hard_TA/1.6_r=TA_seed=1.png,0,a,hard,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.067225,0,26,26,130,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,0,1.483865,,,,,,,,tex_hard_TP/1.6_r=100_phi=90_seed=1.png,1,p,hard,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,1.101365,0,27,27,35,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.85604,,,,,,,,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.482965,0,28,28,111,1,,,,,,,,,,,,,,,,,
