key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_12.keys,key_resp_12.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,ImageFile,tarPos,targPres,numDist,targetName,correctAns,difficulty,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,stimExample,posit,size,stimSize,practiceFile,key_resp_15.keys,key_resp_15.rt
,,,,,,,,,,,,,,,,a,1,0.634085,,,,,,,,0_targ_10_dist_green/trial1.png,,0,10,greenverival,a,mid,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.260125,0,26,26,8,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,0,0.788585,,,,,,,,15_dist_green/trial12.png,,1,15,greenverival,p,hard,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,1.814165,0,27,27,67,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.618415,,,,,,,,0_targ_10_dist_green/trial13.png,,0,10,greenverival,a,mid,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.31792,0,28,28,114,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.632415,,,,,,,,15_dist_green/trial23.png,,1,15,greenverival,p,hard,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.28492,0,29,29,78,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.78504,,,,,,,,15_dist_green/trial6.png,,1,15,greenverival,p,hard,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.237585,0,30,30,61,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.53167,,,,,,,,3_dist_green/trial9.png,,1,3,greenverival,p,easy,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.370335,0,31,31,18,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.591375,,,,,,,,0_targ_10_dist_green/trial20.png,,0,10,greenverival,a,mid,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.351835,0,32,32,121,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.538585,,,,,,,,0_targ_10_dist_green/trial16.png,,0,10,greenverival,a,mid,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.30796,0,33,33,117,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.77271,,,,,,,,15_dist_green/trial5.png,,1,15,greenverival,p,hard,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.302085,0,34,34,60,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.716505,,,,,,,,0_targ_16_dist_green/trial17.png,,0,16,greenverival,a,hard,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.286875,0,35,35,141,1,,,,,,,,,,,,,,,
