key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_12.keys,key_resp_12.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,ImageFile,targPres,correctAns,difficulty,targetName,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,stimExample,posit,size,stimSize,practiceFile,tarPos,numDist,key_resp_15.keys,key_resp_15.rt
,,,,,,,,,,,,,,,,p,1,1.153,,,,,,,,tex_mid_TP/1.65_r=200_phi=45_seed=2.png,1,p,mid,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.384,0,17,17,62,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.765,,,,,,,,tex_mid_TP/1.65_r=50_phi=315_seed=2.png,1,p,mid,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.373,0,18,18,79,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.832,,,,,,,,tex_easy_TP/1.7_r=350_phi=135_seed=3.png,1,p,easy,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.376,0,19,19,24,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,2.158,,,,,,,,tex_mid_TA/1.65_r=TA_seed=2.png,0,a,mid,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.542,0,20,20,96,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.483,,,,,,,,tex_mid_TA/1.65_r=TA_seed=2.png,0,a,mid,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.355,0,21,21,95,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.21,,,,,,,,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.442,0,22,22,116,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.446,,,,,,,,tex_mid_TA/1.65_r=TA_seed=2.png,0,a,mid,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.311,0,23,23,100,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,2.272,,,,,,,,tex_hard_TA/1.6_r=TA_seed=1.png,0,a,hard,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.426,0,24,24,141,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.754,,,,,,,,tex_mid_TP/1.65_r=250_phi=180_seed=2.png,1,p,mid,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.362,0,25,25,63,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.676,,,,,,,,tex_mid_TA/1.65_r=TA_seed=2.png,0,a,mid,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.329,0,26,26,97,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,1.061,,,,,,,,tex_mid_TP/1.65_r=300_phi=90_seed=2.png,1,p,mid,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.316,0,27,27,69,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,2.508,,,,,,,,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.42,0,28,28,105,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.06,,,,,,,,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.378,0,29,29,119,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.514,,,,,,,,tex_hard_TA/1.6_r=TA_seed=1.png,0,a,hard,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.385,0,30,30,135,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,1.06,,,,,,,,tex_easy_TP/1.7_r=350_phi=315_seed=3.png,1,p,easy,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.363,0,31,31,26,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.43,,,,,,,,tex_mid_TA/1.65_r=TA_seed=2.png,0,a,mid,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.373,0,32,32,93,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.237,,,,,,,,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.33,0,33,33,108,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.039,,,,,,,,tex_mid_TA/1.65_r=TA_seed=2.png,0,a,mid,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.58,0,34,34,83,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,1.719,,,,,,,,tex_mid_TP/1.65_r=250_phi=45_seed=2.png,1,p,mid,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.395,0,35,35,65,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.849,,,,,,,,tex_mid_TA/1.65_r=TA_seed=2.png,0,a,mid,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.625,0,36,36,103,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,3.293,,,,,,,,tex_hard_TA/1.6_r=TA_seed=1.png,0,a,hard,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.439,0,37,37,129,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,0,3.445,,,,,,,,tex_hard_TP/1.6_r=400_phi=225_seed=1.png,1,p,hard,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.369,0,38,38,49,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,6.352,,,,,,,,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,1.04,0,39,39,123,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,2.377,,,,,,,,tex_hard_TP/1.6_r=350_phi=315_seed=1.png,1,p,hard,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.549,0,40,40,47,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,4.724,,,,,,,,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.498,0,41,41,113,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.905,,,,,,,,tex_easy_TP/1.7_r=450_phi=315_seed=3.png,1,p,easy,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.346,0,42,42,34,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,5.06,,,,,,,,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.495,0,43,43,110,1,,,,,,,,,,,,,,,,,
