key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_12.keys,key_resp_12.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,ImageFile,targPres,correctAns,difficulty,targetName,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,stimExample,posit,size,stimSize,practiceFile,tarPos,numDist,key_resp_15.keys,key_resp_15.rt
,,,,,,,,,,,,,,,,a,1,7.836,,,,,,,,tex_mid_TA/1.65_r=TA_seed=2.png,0,a,mid,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.732,0,14,14,103,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,5.358,,,,,,,,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,1.33,0,15,15,121,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,0,2.598,,,,,,,,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.697,0,16,16,111,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,5.835,,,,,,,,tex_mid_TA/1.65_r=TA_seed=2.png,0,a,mid,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.872,0,17,17,92,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,1.318,,,,,,,,tex_hard_TP/1.6_r=50_phi=315_seed=1.png,1,p,hard,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.756,0,18,18,57,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,7.584,,,,,,,,tex_hard_TA/1.6_r=TA_seed=1.png,0,a,hard,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.718,0,19,19,130,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,1.781,,,,,,,,tex_easy_TP/1.7_r=350_phi=90_seed=3.png,1,p,easy,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,1.02,0,20,20,27,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,5.969,,,,,,,,tex_mid_TA/1.65_r=TA_seed=2.png,0,a,mid,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.635,0,21,21,89,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,2.357,,,,,,,,tex_mid_TP/1.65_r=450_phi=0_seed=2.png,1,p,mid,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.787,0,22,22,75,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,4.892,,,,,,,,tex_hard_TA/1.6_r=TA_seed=1.png,0,a,hard,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.618,0,23,23,144,1,,,,,,,,,,,,,,,,,
